,node,port,wire
210,sky130_fd_sc_hd__o21a_2 U1187,"['A1', 'A2', 'B1', 'X']","['n3073', 'n3235', 'n3237', 'n3238']"
211,sky130_fd_sc_hd__nor2_2 U1188,"['A', 'B', 'Y']","['n2991', 'n3238', 'n3239']"
212,sky130_fd_sc_hd__a21o_2 U1189,"['A1', 'A2', 'B1', 'X']","['n2991', 'n3238', 'n3187', 'n3240']"
213,sky130_fd_sc_hd__inv_2 U119,"['A', 'Y']","['n2213', 'n2231']"
214,sky130_fd_sc_hd__o22a_2 U1190,"['A1', 'A2', 'B1', 'B2', 'X']","['n3031', 'n3233', 'n3239', 'n3240', '\\alu_out[22]']"
215,sky130_fd_sc_hd__and2_2 U1191,"['A', 'B', 'X']","['n2985', 'n2986', 'n3241']"
216,sky130_fd_sc_hd__and3_2 U1192,"['A', 'B', 'C', 'X']","['n2697', 'pcpi_rs2[23]', 'n3024', 'n3242']"
217,sky130_fd_sc_hd__a221o_2 U1193,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3241', 'n3040', 'n3042', 'n2986', 'n3242', 'n3243']"
218,sky130_fd_sc_hd__nor2_2 U1194,"['A', 'B', 'Y']","['n2684', 'n2988', 'n3244']"
219,sky130_fd_sc_hd__a21oi_2 U1195,"['A1', 'A2', 'B1', 'Y']","['n2685', 'n2988', 'n3235', 'n3245']"
220,sky130_fd_sc_hd__a211o_2 U1196,"['A1', 'A2', 'B1', 'C1', 'X']","['n2991', 'n3236', 'n2996', 'n3052', 'n3246']"
221,sky130_fd_sc_hd__o31a_2 U1197,"['A1', 'A2', 'A3', 'B1', 'X']","['n3073', 'n3244', 'n3245', 'n3246', 'n3247']"
222,sky130_fd_sc_hd__nor2_2 U1198,"['A', 'B', 'Y']","['n3241', 'n3247', 'n3248']"
223,sky130_fd_sc_hd__a21o_2 U1199,"['A1', 'A2', 'B1', 'X']","['n3241', 'n3247', 'n3187', 'n3249']"
224,sky130_fd_sc_hd__or2_2 U12,"['A', 'B', 'X']","['\\mem_state[1]', '\\mem_state[0]', 'n2134']"
225,sky130_fd_sc_hd__nor2_2 U120,"['A', 'B', 'Y']","['n2211', 'n2231', 'n2232']"
226,sky130_fd_sc_hd__o22a_2 U1200,"['A1', 'A2', 'B1', 'B2', 'X']","['n3031', 'n3243', 'n3248', 'n3249', '\\alu_out[23]']"
227,sky130_fd_sc_hd__mux2_2 U1201,"['A0', 'A1', 'S', 'X']","['n3111', 'n3047', 'n2858', 'n3250']"
228,sky130_fd_sc_hd__o21ba_2 U1202,"['A1', 'A2', 'B1_N', 'X']","['n3027', 'n3250', 'n2857', 'n3251']"
229,sky130_fd_sc_hd__o211a_2 U1203,"['A1', 'A2', 'B1', 'C1', 'X']","['n3224', 'n3234', 'n2983', 'n2989', 'n3252']"
230,sky130_fd_sc_hd__o21ai_2 U1204,"['A1', 'A2', 'B1', 'Y']","['n3244', 'n3252', 'n2985', 'n3253']"
231,sky130_fd_sc_hd__or4_2 U1205,"['A', 'B', 'C', 'D', 'X']","['n2864', 'n2984', 'n2987', 'n2991', 'n3254']"
232,sky130_fd_sc_hd__o2bb2a_2 U1206,"['A1_N', 'A2_N', 'B1', 'B2', 'X']","['n2986', 'n3253', 'n3254', 'n3219', 'n3255']"
233,sky130_fd_sc_hd__mux2_2 U1207,"['A0', 'A1', 'S', 'X']","['n3000', 'n3255', 'n3033', 'n3256']"
234,sky130_fd_sc_hd__xor2_2 U1208,"['A', 'B', 'X']","['n2859', 'n3256', 'n3257']"
235,sky130_fd_sc_hd__mux2_2 U1209,"['A0', 'A1', 'S', 'X']","['n3251', 'n3257', 'n3118', 'n3258']"
236,sky130_fd_sc_hd__buf_1 U121,"['A', 'X']","['n2232', 'n2233']"
237,sky130_fd_sc_hd__buf_1 U1210,"['A', 'X']","['n3258', '\\alu_out[24]']"
238,sky130_fd_sc_hd__a21o_2 U1211,"['A1', 'A2', 'B1', 'X']","['n2843', 'n3078', 'n3176', 'n3259']"
239,sky130_fd_sc_hd__o21ai_2 U1212,"['A1', 'A2', 'B1', 'Y']","['n2857', 'n3255', 'n2858', 'n3260']"
240,sky130_fd_sc_hd__and2_2 U1213,"['A', 'B', 'X']","['n2859', 'n3000', 'n3261']"
241,sky130_fd_sc_hd__a21o_2 U1214,"['A1', 'A2', 'B1', 'X']","['n2717', 'n2841', 'n3261', 'n3262']"
242,sky130_fd_sc_hd__nand2_2 U1215,"['A', 'B', 'Y']","['n3072', 'n3262', 'n3263']"
243,sky130_fd_sc_hd__o21a_2 U1216,"['A1', 'A2', 'B1', 'X']","['n3065', 'n3260', 'n3263', 'n3264']"
244,sky130_fd_sc_hd__nand2_2 U1217,"['A', 'B', 'Y']","['n2844', 'n3264', 'n3265']"
245,sky130_fd_sc_hd__or2_2 U1218,"['A', 'B', 'X']","['n2844', 'n3264', 'n3266']"
246,sky130_fd_sc_hd__a21oi_2 U1219,"['A1', 'A2', 'B1', 'Y']","['n3265', 'n3266', 'n3187', 'n3267']"
247,sky130_fd_sc_hd__and3_2 U122,"['A', 'B', 'C', 'X']","['n2162', 'n2198', 'n2233', 'n2234']"
248,sky130_fd_sc_hd__and3_2 U1220,"['A', 'B', 'C', 'X']","['n2736', 'pcpi_rs2[25]', 'n3044', 'n3268']"
249,sky130_fd_sc_hd__a211o_2 U1221,"['A1', 'A2', 'B1', 'C1', 'X']","['n2842', 'n3259', 'n3267', 'n3268', '\\alu_out[25]']"
250,sky130_fd_sc_hd__mux2_2 U1222,"['A0', 'A1', 'S', 'X']","['n3111', 'n3025', 'n2838', 'n3269']"
251,sky130_fd_sc_hd__o21a_2 U1223,"['A1', 'A2', 'B1', 'X']","['n3110', 'n3269', 'n2839', 'n3270']"
252,sky130_fd_sc_hd__a21o_2 U1224,"['A1', 'A2', 'B1', 'X']","['n2844', 'n3262', 'n2845', 'n3271']"
253,sky130_fd_sc_hd__nand2_2 U1225,"['A', 'B', 'Y']","['n2842', 'n3260', 'n3272']"
254,sky130_fd_sc_hd__and2_2 U1226,"['A', 'B', 'X']","['n2843', 'n3272', 'n3273']"
255,sky130_fd_sc_hd__mux2_2 U1227,"['A0', 'A1', 'S', 'X']","['n3271', 'n3273', 'n3033', 'n3274']"
256,sky130_fd_sc_hd__xor2_2 U1228,"['A', 'B', 'X']","['n2840', 'n3274', 'n3275']"
257,sky130_fd_sc_hd__mux2_2 U1229,"['A0', 'A1', 'S', 'X']","['n3270', 'n3275', 'n3023', 'n3276']"
258,sky130_fd_sc_hd__buf_1 U123,"['A', 'X']","['n2234', 'n19']"
259,sky130_fd_sc_hd__buf_1 U1230,"['A', 'X']","['n3276', '\\alu_out[26]']"
260,sky130_fd_sc_hd__and3_2 U1231,"['A', 'B', 'C', 'X']","['n2761', 'pcpi_rs2[27]', 'n3024', 'n3277']"
261,sky130_fd_sc_hd__a221o_2 U1232,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n2837', 'n3040', 'n3042', 'n2836', 'n3277', 'n3278']"
262,sky130_fd_sc_hd__a211o_2 U1233,"['A1', 'A2', 'B1', 'C1', 'X']","['n2840', 'n3271', 'n2847', 'n3034', 'n3279']"
263,sky130_fd_sc_hd__nor2_2 U1234,"['A', 'B', 'Y']","['n2748', 'pcpi_rs2[26]', 'n3280']"
264,sky130_fd_sc_hd__a211o_2 U1235,"['A1', 'A2', 'B1', 'C1', 'X']","['n2838', 'n3273', 'n3280', 'n3073', 'n3281']"
265,sky130_fd_sc_hd__a21oi_2 U1236,"['A1', 'A2', 'B1', 'Y']","['n3279', 'n3281', 'n2837', 'n3282']"
266,sky130_fd_sc_hd__a31o_2 U1237,"['A1', 'A2', 'A3', 'B1', 'X']","['n2837', 'n3279', 'n3281', 'n3061', 'n3283']"
267,sky130_fd_sc_hd__o22a_2 U1238,"['A1', 'A2', 'B1', 'B2', 'X']","['n3031', 'n3278', 'n3282', 'n3283', '\\alu_out[27]']"
268,sky130_fd_sc_hd__a21o_2 U1239,"['A1', 'A2', 'B1', 'X']","['n2821', 'n3078', 'n3176', 'n3284']"
269,sky130_fd_sc_hd__buf_1 U124,"['A', 'X']","['n2201', 'n2235']"
270,sky130_fd_sc_hd__or3b_2 U1240,"['A', 'B', 'C_N', 'X']","['n2844', 'n2859', 'n2837', 'n3285']"
271,sky130_fd_sc_hd__nand2_2 U1241,"['A', 'B', 'Y']","['n2843', 'n2838', 'n3286']"
272,sky130_fd_sc_hd__a31o_2 U1242,"['A1', 'A2', 'A3', 'B1', 'X']","['n2717', 'pcpi_rs2[24]', 'n2842', 'n3286', 'n3287']"
273,sky130_fd_sc_hd__nand3_2 U1243,"['A', 'B', 'C', 'Y']","['n2836', 'n2839', 'n3287', 'n3288']"
274,sky130_fd_sc_hd__o311a_2 U1244,"['A1', 'A2', 'A3', 'B1', 'C1', 'X']","['n2840', 'n3255', 'n3285', 'n3288', 'n2835', 'n3289']"
275,sky130_fd_sc_hd__inv_2 U1245,"['A', 'Y']","['n3000', 'n3290']"
276,sky130_fd_sc_hd__o21ai_2 U1246,"['A1', 'A2', 'B1', 'Y']","['n2861', 'n3290', 'n2850', 'n3291']"
277,sky130_fd_sc_hd__mux2_2 U1247,"['A0', 'A1', 'S', 'X']","['n3289', 'n3291', 'n3072', 'n3292']"
278,sky130_fd_sc_hd__xnor2_2 U1248,"['A', 'B', 'Y']","['n2823', 'n3292', 'n3293']"
279,sky130_fd_sc_hd__nor2_2 U1249,"['A', 'B', 'Y']","['n3138', 'n3293', 'n3294']"
280,sky130_fd_sc_hd__inv_2 U125,"['A', 'Y']","['\\cpu_state[3]', 'n2236']"
281,sky130_fd_sc_hd__and3_2 U1250,"['A', 'B', 'C', 'X']","['n2780', 'n2820', 'n3044', 'n3295']"
282,sky130_fd_sc_hd__a211o_2 U1251,"['A1', 'A2', 'B1', 'C1', 'X']","['n2822', 'n3284', 'n3294', 'n3295', '\\alu_out[28]']"
283,sky130_fd_sc_hd__a21o_2 U1252,"['A1', 'A2', 'B1', 'X']","['n2824', 'n3078', 'n3176', 'n3296']"
284,sky130_fd_sc_hd__a21o_2 U1253,"['A1', 'A2', 'B1', 'X']","['n2823', 'n3291', 'n2852', 'n3297']"
285,sky130_fd_sc_hd__nor2_2 U1254,"['A', 'B', 'Y']","['n2779', 'n2820', 'n3298']"
286,sky130_fd_sc_hd__o21a_2 U1255,"['A1', 'A2', 'B1', 'X']","['n3298', 'n3289', 'n2821', 'n3299']"
287,sky130_fd_sc_hd__mux2_2 U1256,"['A0', 'A1', 'S', 'X']","['n3297', 'n3299', 'n3052', 'n3300']"
288,sky130_fd_sc_hd__xnor2_2 U1257,"['A', 'B', 'Y']","['n2826', 'n3300', 'n3301']"
289,sky130_fd_sc_hd__nor2_2 U1258,"['A', 'B', 'Y']","['n3187', 'n3301', 'n3302']"
290,sky130_fd_sc_hd__and3_2 U1259,"['A', 'B', 'C', 'X']","['n2793', 'pcpi_rs2[29]', 'n3044', 'n3303']"
291,sky130_fd_sc_hd__nor2_2 U126,"['A', 'B', 'Y']","['is_jalr_addi_slti_sltiu_xori_ori_andi', 'is_lui_auipc_jal', 'n2237']"
292,sky130_fd_sc_hd__a211o_2 U1260,"['A1', 'A2', 'B1', 'C1', 'X']","['n2825', 'n3296', 'n3302', 'n3303', '\\alu_out[29]']"
293,sky130_fd_sc_hd__and3_2 U1261,"['A', 'B', 'C', 'X']","['n2805', 'pcpi_rs2[30]', 'n3049', 'n3304']"
294,sky130_fd_sc_hd__a221o_2 U1262,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n2830', 'n3048', 'n3041', 'n2829', 'n3304', 'n3305']"
295,sky130_fd_sc_hd__a21boi_2 U1263,"['A1', 'A2', 'B1_N', 'Y']","['n2824', 'n3299', 'n2825', 'n3306']"
296,sky130_fd_sc_hd__a21o_2 U1264,"['A1', 'A2', 'B1', 'X']","['n2826', 'n3297', 'n2853', 'n3307']"
297,sky130_fd_sc_hd__nand2_2 U1265,"['A', 'B', 'Y']","['n3063', 'n3307', 'n3308']"
298,sky130_fd_sc_hd__o21ai_2 U1266,"['A1', 'A2', 'B1', 'Y']","['n3064', 'n3306', 'n3308', 'n3309']"
299,sky130_fd_sc_hd__xnor2_2 U1267,"['A', 'B', 'Y']","['n2830', 'n3309', 'n3310']"
300,sky130_fd_sc_hd__mux2_2 U1268,"['A0', 'A1', 'S', 'X']","['n3305', 'n3310', 'n3023', 'n3311']"
301,sky130_fd_sc_hd__buf_1 U1269,"['A', 'X']","['n3311', '\\alu_out[30]']"
302,sky130_fd_sc_hd__or2_2 U127,"['A', 'B', 'X']","['is_slli_srli_srai', 'n2181', 'n2238']"
303,sky130_fd_sc_hd__mux2_2 U1270,"['A0', 'A1', 'S', 'X']","['n3111', 'n3047', 'n2831', 'n3312']"
304,sky130_fd_sc_hd__o21a_2 U1271,"['A1', 'A2', 'B1', 'X']","['n3110', 'n3312', 'n2832', 'n3313']"
305,sky130_fd_sc_hd__a21bo_2 U1272,"['A1', 'A2', 'B1_N', 'X']","['n2829', 'n3306', 'n2828', 'n3314']"
306,sky130_fd_sc_hd__nand2_2 U1273,"['A', 'B', 'Y']","['n3063', 'n2851', 'n3315']"
307,sky130_fd_sc_hd__o221a_2 U1274,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n2830', 'n3308', 'n3314', 'n3072', 'n3315', 'n3316']"
308,sky130_fd_sc_hd__xnor2_2 U1275,"['A', 'B', 'Y']","['n2833', 'n3316', 'n3317']"
309,sky130_fd_sc_hd__mux2_2 U1276,"['A0', 'A1', 'S', 'X']","['n3313', 'n3317', 'n3023', 'n3318']"
310,sky130_fd_sc_hd__buf_1 U1277,"['A', 'X']","['n3318', '\\alu_out[31]']"
311,sky130_fd_sc_hd__a21o_2 U1278,"['A1', 'A2', 'B1', 'X']","['n2278', 'n2193', 'n2443', 'mem_la_wstrb[1]']"
312,sky130_fd_sc_hd__or2_2 U1279,"['A', 'B', 'X']","['n2682', 'n2287', 'n3319']"
313,sky130_fd_sc_hd__or2_2 U128,"['A', 'B', 'X']","['is_lb_lh_lw_lbu_lhu', 'n2186', 'n2239']"
314,sky130_fd_sc_hd__buf_1 U1280,"['A', 'X']","['n3319', 'mem_la_wstrb[2]']"
315,sky130_fd_sc_hd__o21ai_2 U1281,"['A1', 'A2', 'B1', 'Y']","['n2193', 'n2253', 'n2191', 'n3320']"
316,sky130_fd_sc_hd__nand2_2 U1282,"['A', 'B', 'Y']","['n2290', 'n3320', 'mem_la_wstrb[3]']"
317,sky130_fd_sc_hd__a22o_2 U1283,"['A1', 'A2', 'B1', 'B2', 'X']","['n2205', 'mem_la_wdata[0]', 'n2889', 'n2253', 'n3321']"
318,sky130_fd_sc_hd__a21o_2 U1284,"['A1', 'A2', 'B1', 'X']","['n2889', 'n2813', 'n3321', 'mem_la_wdata[8]']"
319,sky130_fd_sc_hd__a22o_2 U1285,"['A1', 'A2', 'B1', 'B2', 'X']","['n2205', 'n2923', 'n2891', 'n2253', 'n3322']"
320,sky130_fd_sc_hd__a21o_2 U1286,"['A1', 'A2', 'B1', 'X']","['n2891', 'n2813', 'n3322', 'mem_la_wdata[9]']"
321,sky130_fd_sc_hd__a22o_2 U1287,"['A1', 'A2', 'B1', 'B2', 'X']","['n2205', 'n2929', 'pcpi_rs2[10]', 'n2253', 'n3323']"
322,sky130_fd_sc_hd__a21o_2 U1288,"['A1', 'A2', 'B1', 'X']","['pcpi_rs2[10]', 'n2813', 'n3323', 'mem_la_wdata[10]']"
323,sky130_fd_sc_hd__a22o_2 U1289,"['A1', 'A2', 'B1', 'B2', 'X']","['n2205', 'n2916', 'n2882', 'n2253', 'n3324']"
324,sky130_fd_sc_hd__or4_2 U129,"['A', 'B', 'C', 'D', 'X']","['is_sll_srl_sra', 'is_sb_sh_sw', 'n2238', 'n2239', 'n2240']"
325,sky130_fd_sc_hd__a21o_2 U1290,"['A1', 'A2', 'B1', 'X']","['n2882', 'n2813', 'n3324', 'mem_la_wdata[11]']"
326,sky130_fd_sc_hd__a22o_2 U1291,"['A1', 'A2', 'B1', 'B2', 'X']","['n2205', 'n3079', 'pcpi_rs2[12]', 'n2442', 'n3325']"
327,sky130_fd_sc_hd__a21o_2 U1292,"['A1', 'A2', 'B1', 'X']","['pcpi_rs2[12]', 'n2813', 'n3325', 'mem_la_wdata[12]']"
328,sky130_fd_sc_hd__buf_1 U1293,"['A', 'X']","['n2583', 'n3326']"
329,sky130_fd_sc_hd__a22o_2 U1294,"['A1', 'A2', 'B1', 'B2', 'X']","['n2204', 'n2949', 'n2875', 'n2442', 'n3327']"
330,sky130_fd_sc_hd__a21o_2 U1295,"['A1', 'A2', 'B1', 'X']","['n2875', 'n3326', 'n3327', 'mem_la_wdata[13]']"
331,sky130_fd_sc_hd__a22o_2 U1296,"['A1', 'A2', 'B1', 'B2', 'X']","['n2204', 'n2952', 'n2869', 'n2442', 'n3328']"
332,sky130_fd_sc_hd__a21o_2 U1297,"['A1', 'A2', 'B1', 'X']","['n2869', 'n3326', 'n3328', 'mem_la_wdata[14]']"
333,sky130_fd_sc_hd__a22o_2 U1298,"['A1', 'A2', 'B1', 'B2', 'X']","['n2204', 'n2915', 'n2865', 'n2442', 'n3329']"
334,sky130_fd_sc_hd__a21o_2 U1299,"['A1', 'A2', 'B1', 'X']","['n2865', 'n3326', 'n3329', 'mem_la_wdata[15]']"
335,sky130_fd_sc_hd__and2_2 U13,"['A', 'B', 'X']","['mem_ready', 'mem_valid', 'n2135']"
336,sky130_fd_sc_hd__nand2_2 U130,"['A', 'B', 'Y']","['n2237', 'n2240', 'n2241']"
337,sky130_fd_sc_hd__buf_1 U1300,"['A', 'X']","['n2582', 'n3330']"
338,sky130_fd_sc_hd__mux2_2 U1301,"['A0', 'A1', 'S', 'X']","['n3035', 'pcpi_rs2[16]', 'n3330', 'n3331']"
339,sky130_fd_sc_hd__buf_1 U1302,"['A', 'X']","['n3331', 'mem_la_wdata[16]']"
340,sky130_fd_sc_hd__mux2_2 U1303,"['A0', 'A1', 'S', 'X']","['n2923', 'pcpi_rs2[17]', 'n3330', 'n3332']"
341,sky130_fd_sc_hd__buf_1 U1304,"['A', 'X']","['n3332', 'mem_la_wdata[17]']"
342,sky130_fd_sc_hd__mux2_2 U1305,"['A0', 'A1', 'S', 'X']","['n2929', 'pcpi_rs2[18]', 'n3330', 'n3333']"
343,sky130_fd_sc_hd__buf_1 U1306,"['A', 'X']","['n3333', 'mem_la_wdata[18]']"
344,sky130_fd_sc_hd__mux2_2 U1307,"['A0', 'A1', 'S', 'X']","['n2916', 'pcpi_rs2[19]', 'n3330', 'n3334']"
345,sky130_fd_sc_hd__buf_1 U1308,"['A', 'X']","['n3334', 'mem_la_wdata[19]']"
346,sky130_fd_sc_hd__mux2_2 U1309,"['A0', 'A1', 'S', 'X']","['n3079', 'pcpi_rs2[20]', 'n3330', 'n3335']"
347,sky130_fd_sc_hd__a2bb2o_2 U131,"['A1_N', 'A2_N', 'B1', 'B2', 'X']","['n2236', 'n2217', 'n2241', 'n2170', 'n2242']"
348,sky130_fd_sc_hd__buf_1 U1310,"['A', 'X']","['n3335', 'mem_la_wdata[20]']"
349,sky130_fd_sc_hd__mux2_2 U1311,"['A0', 'A1', 'S', 'X']","['n2949', 'n2982', 'n3330', 'n3336']"
350,sky130_fd_sc_hd__buf_1 U1312,"['A', 'X']","['n3336', 'mem_la_wdata[21]']"
351,sky130_fd_sc_hd__mux2_2 U1313,"['A0', 'A1', 'S', 'X']","['n2952', 'n2988', 'n2582', 'n3337']"
352,sky130_fd_sc_hd__buf_1 U1314,"['A', 'X']","['n3337', 'mem_la_wdata[22]']"
353,sky130_fd_sc_hd__mux2_2 U1315,"['A0', 'A1', 'S', 'X']","['n2915', 'pcpi_rs2[23]', 'n2582', 'n3338']"
354,sky130_fd_sc_hd__buf_1 U1316,"['A', 'X']","['n3338', 'mem_la_wdata[23]']"
355,sky130_fd_sc_hd__a21o_2 U1317,"['A1', 'A2', 'B1', 'X']","['pcpi_rs2[24]', 'n3326', 'n3321', 'mem_la_wdata[24]']"
356,sky130_fd_sc_hd__a21o_2 U1318,"['A1', 'A2', 'B1', 'X']","['pcpi_rs2[25]', 'n3326', 'n3322', 'mem_la_wdata[25]']"
357,sky130_fd_sc_hd__a21o_2 U1319,"['A1', 'A2', 'B1', 'X']","['pcpi_rs2[26]', 'n3326', 'n3323', 'mem_la_wdata[26]']"
358,sky130_fd_sc_hd__and3_2 U132,"['A', 'B', 'C', 'X']","['n2235', 'n2198', 'n2242', 'n2243']"
359,sky130_fd_sc_hd__a21o_2 U1320,"['A1', 'A2', 'B1', 'X']","['pcpi_rs2[27]', 'n2694', 'n3324', 'mem_la_wdata[27]']"
360,sky130_fd_sc_hd__a21o_2 U1321,"['A1', 'A2', 'B1', 'X']","['n2820', 'n2694', 'n3325', 'mem_la_wdata[28]']"
361,sky130_fd_sc_hd__a21o_2 U1322,"['A1', 'A2', 'B1', 'X']","['pcpi_rs2[29]', 'n2694', 'n3327', 'mem_la_wdata[29]']"
362,sky130_fd_sc_hd__a21o_2 U1323,"['A1', 'A2', 'B1', 'X']","['pcpi_rs2[30]', 'n2694', 'n3328', 'mem_la_wdata[30]']"
363,sky130_fd_sc_hd__a21o_2 U1324,"['A1', 'A2', 'B1', 'X']","['n2819', 'n2694', 'n3329', 'mem_la_wdata[31]']"
364,sky130_fd_sc_hd__and2_2 U1325,"['A', 'B', 'X']","['latched_branch', 'latched_store', 'n3339']"
365,sky130_fd_sc_hd__buf_1 U1326,"['A', 'X']","['n3339', 'n3340']"
366,sky130_fd_sc_hd__buf_1 U1327,"['A', 'X']","['n3340', 'n3341']"
367,sky130_fd_sc_hd__buf_1 U1328,"['A', 'X']","['n3341', 'n3342']"
368,sky130_fd_sc_hd__buf_1 U1329,"['A', 'X']","['n3342', 'n3343']"
369,sky130_fd_sc_hd__buf_1 U133,"['A', 'X']","['n2243', 'n20']"
370,sky130_fd_sc_hd__buf_1 U1330,"['A', 'X']","['n3343', 'n3344']"
371,sky130_fd_sc_hd__buf_1 U1331,"['A', 'X']","['n3344', 'n3345']"
372,sky130_fd_sc_hd__buf_1 U1332,"['A', 'X']","['n3345', 'n3346']"
373,sky130_fd_sc_hd__mux2_2 U1333,"['A0', 'A1', 'S', 'X']","['\\reg_next_pc[2]', '\\reg_out[2]', 'n3346', 'n3347']"
374,sky130_fd_sc_hd__buf_1 U1334,"['A', 'X']","['n2164', 'n3348']"
375,sky130_fd_sc_hd__buf_1 U1335,"['A', 'X']","['n3348', 'n3349']"
376,sky130_fd_sc_hd__mux2_2 U1336,"['A0', 'A1', 'S', 'X']","['n2326', 'n3347', 'n3349', 'n3350']"
377,sky130_fd_sc_hd__buf_1 U1337,"['A', 'X']","['n3350', 'mem_la_addr[2]']"
378,sky130_fd_sc_hd__mux2_2 U1338,"['A0', 'A1', 'S', 'X']","['\\reg_next_pc[3]', '\\reg_out[3]', 'n3346', 'n3351']"
379,sky130_fd_sc_hd__mux2_2 U1339,"['A0', 'A1', 'S', 'X']","['n2342', 'n3351', 'n3349', 'n3352']"
380,sky130_fd_sc_hd__inv_2 U134,"['A', 'Y']","['\\cpu_state[4]', 'n2244']"
381,sky130_fd_sc_hd__buf_1 U1340,"['A', 'X']","['n3352', 'mem_la_addr[3]']"
382,sky130_fd_sc_hd__mux2_2 U1341,"['A0', 'A1', 'S', 'X']","['\\reg_next_pc[4]', '\\reg_out[4]', 'n3346', 'n3353']"
383,sky130_fd_sc_hd__mux2_2 U1342,"['A0', 'A1', 'S', 'X']","['n2368', 'n3353', 'n3349', 'n3354']"
384,sky130_fd_sc_hd__buf_1 U1343,"['A', 'X']","['n3354', 'mem_la_addr[4]']"
385,sky130_fd_sc_hd__mux2_2 U1344,"['A0', 'A1', 'S', 'X']","['\\reg_next_pc[5]', '\\reg_out[5]', 'n3346', 'n3355']"
386,sky130_fd_sc_hd__mux2_2 U1345,"['A0', 'A1', 'S', 'X']","['n2388', 'n3355', 'n3349', 'n3356']"
387,sky130_fd_sc_hd__buf_1 U1346,"['A', 'X']","['n3356', 'mem_la_addr[5]']"
388,sky130_fd_sc_hd__mux2_2 U1347,"['A0', 'A1', 'S', 'X']","['\\reg_next_pc[6]', '\\reg_out[6]', 'n3346', 'n3357']"
389,sky130_fd_sc_hd__buf_1 U1348,"['A', 'X']","['n3348', 'n3358']"
390,sky130_fd_sc_hd__mux2_2 U1349,"['A0', 'A1', 'S', 'X']","['n2407', 'n3357', 'n3358', 'n3359']"
391,sky130_fd_sc_hd__buf_1 U135,"['A', 'X']","['n2244', 'n2245']"
392,sky130_fd_sc_hd__buf_1 U1350,"['A', 'X']","['n3359', 'mem_la_addr[6]']"
393,sky130_fd_sc_hd__buf_1 U1351,"['A', 'X']","['n3345', 'n3360']"
394,sky130_fd_sc_hd__mux2_2 U1352,"['A0', 'A1', 'S', 'X']","['\\reg_next_pc[7]', '\\reg_out[7]', 'n3360', 'n3361']"
395,sky130_fd_sc_hd__mux2_2 U1353,"['A0', 'A1', 'S', 'X']","['n2424', 'n3361', 'n3358', 'n3362']"
396,sky130_fd_sc_hd__buf_1 U1354,"['A', 'X']","['n3362', 'mem_la_addr[7]']"
397,sky130_fd_sc_hd__mux2_2 U1355,"['A0', 'A1', 'S', 'X']","['\\reg_next_pc[8]', '\\reg_out[8]', 'n3360', 'n3363']"
398,sky130_fd_sc_hd__mux2_2 U1356,"['A0', 'A1', 'S', 'X']","['n2438', 'n3363', 'n3358', 'n3364']"
399,sky130_fd_sc_hd__buf_1 U1357,"['A', 'X']","['n3364', 'mem_la_addr[8]']"
400,sky130_fd_sc_hd__mux2_2 U1358,"['A0', 'A1', 'S', 'X']","['\\reg_next_pc[9]', '\\reg_out[9]', 'n3360', 'n3365']"
401,sky130_fd_sc_hd__mux2_2 U1359,"['A0', 'A1', 'S', 'X']","['n2462', 'n3365', 'n3358', 'n3366']"
402,sky130_fd_sc_hd__or2_2 U136,"['A', 'B', 'X']","['n2245', 'n2220', 'n2246']"
403,sky130_fd_sc_hd__buf_1 U1360,"['A', 'X']","['n3366', 'mem_la_addr[9]']"
404,sky130_fd_sc_hd__mux2_2 U1361,"['A0', 'A1', 'S', 'X']","['\\reg_next_pc[10]', '\\reg_out[10]', 'n3360', 'n3367']"
405,sky130_fd_sc_hd__mux2_2 U1362,"['A0', 'A1', 'S', 'X']","['n2476', 'n3367', 'n3358', 'n3368']"
406,sky130_fd_sc_hd__buf_1 U1363,"['A', 'X']","['n3368', 'mem_la_addr[10]']"
407,sky130_fd_sc_hd__mux2_2 U1364,"['A0', 'A1', 'S', 'X']","['\\reg_next_pc[11]', '\\reg_out[11]', 'n3360', 'n3369']"
408,sky130_fd_sc_hd__mux2_2 U1365,"['A0', 'A1', 'S', 'X']","['n2498', 'n3369', 'n3358', 'n3370']"
409,sky130_fd_sc_hd__buf_1 U1366,"['A', 'X']","['n3370', 'mem_la_addr[11]']"
410,sky130_fd_sc_hd__mux2_2 U1367,"['A0', 'A1', 'S', 'X']","['\\reg_next_pc[12]', '\\reg_out[12]', 'n3360', 'n3371']"
411,sky130_fd_sc_hd__buf_1 U1368,"['A', 'X']","['n3348', 'n3372']"
412,sky130_fd_sc_hd__mux2_2 U1369,"['A0', 'A1', 'S', 'X']","['n2513', 'n3371', 'n3372', 'n3373']"
413,sky130_fd_sc_hd__buf_1 U137,"['A', 'X']","['n2237', 'n2247']"
414,sky130_fd_sc_hd__buf_1 U1370,"['A', 'X']","['n3373', 'mem_la_addr[12]']"
415,sky130_fd_sc_hd__buf_1 U1371,"['A', 'X']","['n3345', 'n3374']"
